player_id,pay_recency,pay_cnt,pay_mnt,pay_all_cnt,pay_all_mnt,paycnt_per_day,paymnt_per_day,paymnt_per_time
3157,0,3,18,7,37,0,2,6
3158,0,1,25,4,57,0,3,25
3159,0,2,60,28,3101,0,8,30
3160,1,2,678,17,2177,0,96,339
3161,6,1,25,13,161,0,3,25
3162,1,3,129,10,240,0,18,43
3163,0,2,12,3,13,2,12,6
3164,2,3,27,4,33,0,3,9
3165,1,1,30,8,119,0,4,30
3166,1,1,1,1,1,1,1,1
3167,0,5,109,18,270,0,15,21
3168,4,4,240,18,509,0,34,60
3169,6,1,6,1,6,0,0,6
3170,4,1,25,21,766,0,3,25
3171,0,2,31,18,540,0,4,15
3172,1,2,31,20,420,0,4,15
3173,3,2,31,9,239,0,7,15
3174,1,2,31,10,233,0,4,15
3175,2,1,25,10,160,0,3,25
3176,3,1,6,1,6,0,1,6
3177,6,2,48,6,105,0,6,24
3178,0,1,6,6,67,1,6,6
3179,0,2,426,13,1901,0,60,213
3180,1,1,6,5,20,0,0,6
3181,3,1,25,4,57,0,3,25
3182,0,5,425,13,1110,0,60,85
3183,5,2,2,4,57,0,0,1
3184,3,1,6,5,63,0,0,6
3185,1,2,2,2,2,0,0,1
3186,2,2,7,2,7,0,1,3
3187,1,1,1,1,1,0,0,1
3188,1,2,31,5,75,0,4,15
3189,5,1,1,1,1,0,0,1
3190,0,1,30,2,31,0,7,30
3191,6,1,25,4,57,0,3,25
3192,5,1,1,1,1,0,0,1
3193,3,1,1,1,1,0,0,1
3194,3,5,25,5,25,0,3,5
3195,1,1,30,15,595,0,4,30
3196,5,1,6,2,7,0,0,6
3197,1,3,54,33,5456,0,7,18
3198,4,1,6,1,6,0,2,6
3199,1,4,79,7,135,0,11,19
3200,2,1,1,1,1,1,1,1
3201,4,1,25,3,51,0,6,25
3202,1,1,6,1,6,0,1,6
3203,5,1,6,1,6,0,1,6
3204,0,1,6,4,31,0,0,6
3205,1,1,6,1,6,0,1,6
3206,3,1,1,1,1,0,0,1
3207,2,1,6,2,7,0,0,6
3208,4,1,6,1,6,0,0,6
3209,0,1,30,11,239,0,5,30
3210,4,1,6,2,7,1,6,6
3211,4,2,31,10,543,0,4,15
3212,0,3,703,22,2731,0,100,234
3213,0,5,194,12,373,0,27,38
3214,0,2,60,6,202,0,8,30
3215,0,1,1,2,7,0,0,1
3216,0,1,6,1,6,1,6,6
3217,0,1,1,1,1,0,0,1
3218,6,2,2,2,2,0,0,1
3219,1,3,49,5,109,0,12,16
3220,2,1,1,1,1,0,0,1
3221,0,1,30,7,140,0,4,30
3222,1,1,1,2,7,0,0,1
3223,0,1,1,1,1,0,0,1
3224,3,1,25,6,57,0,3,25
3225,6,1,1,2,7,0,0,1
3226,5,1,1,1,1,1,1,1
3227,3,1,18,5,56,0,2,18
3228,5,1,6,1,6,1,6,6
3229,5,1,1,1,1,0,0,1
3230,6,1,6,1,6,0,0,6
3231,6,1,1,1,1,0,0,1
3232,2,1,1,2,7,0,0,1
3233,1,1,6,1,6,0,2,6
3234,2,1,1,1,1,0,0,1
3235,6,1,1,1,1,0,0,1
3236,1,3,20,3,20,1,10,6
3237,1,1,6,3,13,0,0,6
3238,6,1,1,1,1,0,0,1
3239,5,1,1,1,1,0,0,1
3240,1,1,648,7,1148,0,92,648
3241,4,1,6,1,6,0,0,6
3242,1,1,6,2,7,0,0,6
3243,2,2,7,2,7,0,1,3
3244,6,2,2,6,81,0,0,1
3245,2,1,18,3,44,0,2,18
3246,3,1,25,4,130,0,4,25
3247,1,1,6,1,6,0,0,6
3248,6,2,7,2,7,0,1,3
3249,2,2,48,5,61,0,6,24
3250,0,1,98,3,105,0,14,98
3251,2,4,38,4,38,0,5,9
3252,0,3,78,8,238,0,11,26
3253,4,1,6,1,6,0,1,6
3254,3,1,1,1,1,0,0,1
3255,1,1,30,5,63,0,4,30
3256,3,2,26,3,32,0,3,13
3257,5,1,1,1,1,0,0,1
3258,1,1,25,2,26,0,3,25
3259,1,4,884,10,1062,0,126,221
3260,5,1,1,1,1,0,0,1
3261,4,1,6,1,6,1,6,6
3262,6,1,6,2,31,0,0,6
3263,6,1,6,2,7,0,1,6
3264,1,2,2,2,2,0,0,1
3265,1,1,1,1,1,0,0,1
3266,6,2,24,4,31,0,8,12
3267,6,2,2,2,2,0,0,1
3268,6,2,7,2,7,0,1,3
3269,2,2,7,2,7,0,1,3
3270,3,1,6,2,31,0,0,6
3271,5,3,210,12,413,1,105,70
3272,6,1,1,1,1,0,0,1
3273,6,1,1,1,1,0,0,1
3274,6,1,1,1,1,0,0,1
3275,3,3,13,3,13,0,2,4
3276,2,2,2,2,2,0,0,1
3277,5,1,6,1,6,0,0,6
3278,5,1,1,1,1,0,0,1
3279,0,3,37,3,37,0,5,12
3280,2,1,6,1,6,0,0,6
3281,6,2,7,2,7,0,1,3
3282,1,1,1,2,7,0,0,1
3283,5,1,30,2,36,0,6,30
3284,6,1,6,1,6,0,2,6
3285,6,1,6,1,6,1,6,6
3286,6,1,1,1,1,1,1,1
3287,6,2,7,2,7,1,3,3
3288,6,2,7,2,7,0,1,3
3289,6,1,6,1,6,1,6,6
3290,6,2,31,2,31,0,6,15
3291,5,1,6,1,6,0,0,6
3292,6,1,1,1,1,0,0,1
3293,6,1,25,1,25,0,3,25
3294,1,4,62,4,62,0,8,15
3295,6,1,1,1,1,0,0,1
3296,6,3,13,3,13,0,1,4
3297,0,1,6,1,6,0,0,6
3298,2,2,7,2,7,0,1,3
3299,4,2,7,2,7,0,1,3
3300,6,1,6,1,6,0,1,6
3301,3,2,7,2,7,0,1,3
3302,4,1,6,1,6,0,1,6
3303,5,1,1,1,1,0,0,1
3304,4,1,6,1,6,0,1,6
3305,6,1,1,1,1,1,1,1
3306,3,2,7,2,7,0,1,3
3307,5,2,7,2,7,0,1,3
3308,6,1,1,1,1,1,1,1
3309,6,2,7,2,7,0,1,3
3310,5,2,7,2,7,0,1,3
3311,4,2,2,2,2,0,0,1
3312,5,1,1,1,1,0,0,1
3313,5,1,6,1,6,0,2,6
3314,5,1,1,1,1,0,0,1
3315,5,1,1,1,1,1,1,1
3316,5,2,2,2,2,0,0,1
3317,4,1,6,1,6,0,1,6
3318,0,3,105,3,105,0,26,35
3319,0,3,32,3,32,0,5,10
3320,1,3,32,3,32,0,5,10
3321,1,1,1,1,1,0,0,1
3322,4,1,6,1,6,0,1,6
3323,5,2,7,2,7,0,1,3
3324,4,1,1,1,1,0,0,1
3325,5,1,6,1,6,1,6,6
3326,1,2,12,2,12,0,2,6
3327,5,4,33,4,33,2,16,8
3328,5,2,7,2,7,0,1,3
3329,5,1,1,1,1,0,0,1
3330,4,1,1,1,1,0,0,1
3331,3,1,6,1,6,0,1,6
3332,0,7,32,7,32,1,5,4
3333,4,1,1,1,1,0,0,1
3334,4,1,1,1,1,0,0,1
3335,4,1,6,1,6,0,1,6
3336,2,1,6,1,6,0,1,6
3337,1,1,1,1,1,0,0,1
3338,2,3,32,3,32,0,6,10
3339,1,1,6,1,6,0,1,6
3340,3,1,6,1,6,0,1,6
3341,2,1,1,1,1,0,0,1
3342,3,2,2,2,2,1,1,1
3343,0,1,18,1,18,0,3,18
3344,2,1,1,1,1,0,0,1
3345,3,1,6,1,6,0,1,6
3346,0,3,32,3,32,0,6,10
3347,4,2,7,2,7,0,1,3
3348,0,2,55,2,55,0,18,27
3349,3,1,1,1,1,0,0,1
3350,4,4,33,4,33,0,6,8
3351,2,1,6,1,6,0,1,6
3352,3,1,6,1,6,0,2,6
3353,1,1,6,1,6,0,1,6
3354,3,1,1,1,1,1,1,1
3355,3,2,7,2,7,0,1,3
3356,3,1,1,1,1,1,1,1
3357,3,1,1,1,1,1,1,1
3358,2,1,6,1,6,0,3,6
3359,3,1,1,1,1,0,0,1
3360,1,1,1,1,1,0,0,1
3361,1,1,30,1,30,0,7,30
3362,3,3,13,3,13,1,4,4
3363,3,2,7,2,7,0,1,3
3364,0,3,37,3,37,0,9,12
3365,1,4,14,4,14,1,3,3
3366,2,7,208,7,208,1,52,29
3367,3,3,32,3,32,3,32,10
3368,3,1,6,1,6,0,2,6
3369,3,1,6,1,6,0,2,6
3370,1,2,7,2,7,0,2,3
3371,3,1,6,1,6,0,3,6
3372,2,1,1,1,1,0,0,1
3373,3,1,1,1,1,1,1,1
3374,2,2,2,2,2,0,0,1
3375,3,1,6,1,6,0,2,6
3376,2,2,7,2,7,0,1,3
3377,0,7,179,7,179,2,59,25
3378,1,1,6,1,6,0,2,6
3379,0,4,50,4,50,1,16,12
3380,2,1,6,1,6,1,6,6
3381,0,3,105,3,105,1,52,35
3382,0,12,735,12,735,4,245,61
3383,2,2,26,2,26,0,8,13
3384,1,1,1,1,1,0,0,1
3385,1,1,6,1,6,0,2,6
3386,2,1,6,1,6,0,2,6
3387,2,1,1,1,1,0,0,1
3388,2,1,6,1,6,0,2,6
3389,1,1,6,1,6,0,2,6
3390,0,1,6,1,6,0,2,6
3391,2,1,1,1,1,0,0,1
3392,1,2,7,2,7,0,2,3
3393,1,2,7,2,7,0,2,3
3394,0,2,12,2,12,0,4,6
3395,2,2,7,2,7,1,3,3
3396,1,4,55,4,55,1,18,13
3397,0,2,2,2,2,0,0,1
3398,1,2,7,2,7,1,3,3
3399,1,1,6,1,6,1,6,6
3400,0,1,6,1,6,0,3,6
3401,1,1,1,1,1,0,0,1
3402,0,1,1,1,1,0,0,1
3403,0,1,6,1,6,0,3,6
3404,0,1,6,1,6,0,3,6
3405,0,1,6,1,6,0,3,6
3406,0,5,66,5,66,2,33,13
3407,0,1,1,1,1,0,0,1
3408,0,1,6,1,6,0,3,6
3409,0,1,1,1,1,0,0,1
3410,0,3,129,3,129,1,64,43
3411,1,7,426,7,426,3,213,60
3412,0,1,1,1,1,0,0,1
3413,1,1,6,1,6,1,6,6
3414,0,3,32,3,32,1,16,10
3415,0,1,1,1,1,0,0,1
3416,1,1,1,1,1,0,0,1
3417,0,4,31,4,31,2,15,7
3418,0,1,1,1,1,0,0,1
3419,1,1,6,1,6,1,6,6
3420,0,1,6,1,6,1,6,6
3421,0,1,6,1,6,1,6,6
3422,0,3,32,3,32,3,32,10
3423,0,1,6,1,6,1,6,6
3424,0,1,1,1,1,1,1,1
3425,0,2,7,2,7,2,7,3
3426,0,1,6,1,6,1,6,6
3427,0,1,1,1,1,1,1,1
3428,0,1,6,1,6,1,6,6
3429,0,1,6,1,6,1,6,6
3430,0,7,201,7,201,7,201,28
3431,0,2,7,2,7,2,7,3
3432,0,1,1,1,1,1,1,1
3433,0,1,6,1,6,1,6,6
3434,0,2,7,2,7,2,7,3
3435,0,2,7,2,7,2,7,3
3436,0,2,7,2,7,2,7,3
3437,0,1,6,1,6,1,6,6
3438,0,1,6,1,6,1,6,6
3439,0,1,6,1,6,1,6,6
3440,0,2,7,2,7,0,2,3
3441,2,1,30,4,38,0,10,30
3442,0,1,6,7,111,0,1,6
3443,1,1,6,1,6,0,1,6
3444,4,1,25,1,25,0,12,25
3445,1,3,30,5,54,1,10,10
3446,1,1,25,13,803,0,6,25
3447,0,2,99,3,105,0,33,49
3448,1,6,1102,69,7983,0,157,183
3449,0,1,30,5,80,0,4,30
3450,0,2,36,27,1389,0,5,18
3451,1,1,6,11,185,0,0,6
3452,0,7,548,79,4651,1,78,78
3453,1,1,198,10,357,0,28,198
3454,0,3,66,38,2735,0,9,22
3455,1,2,24,8,55,0,3,12
3456,0,1,25,4,57,0,3,25
3457,2,1,25,23,589,0,3,25
3458,2,2,36,8,141,0,5,18
3459,0,1,18,2,19,1,18,18
3460,0,1,1,1,1,0,0,1
3461,1,2,31,12,432,0,4,15
3462,0,5,369,21,1505,0,52,73
3463,0,2,31,15,178,0,4,15
3464,3,1,25,10,451,0,3,25
3465,1,1,30,5,61,0,4,30
3466,4,1,6,1,6,0,0,6
3467,2,1,1,1,1,0,0,1
3468,0,3,85,23,2281,0,12,28
3469,0,2,26,2,26,2,26,13
3470,4,1,1,1,1,0,0,1
3471,1,1,6,8,158,0,0,6
3472,0,1,25,9,253,0,3,25
3473,2,1,6,7,364,0,1,6
3474,0,9,1758,23,2014,1,251,195
3475,4,1,25,5,63,0,3,25
3476,0,1,198,13,734,0,28,198
3477,0,4,120,26,3310,0,17,30
3478,0,1,98,14,307,0,14,98
3479,1,1,25,7,106,0,3,25
3480,4,1,25,4,76,0,3,25
3481,2,1,25,4,38,0,3,25
3482,1,2,7,2,7,0,1,3
3483,0,1,25,4,57,0,3,25
3484,0,1,6,2,7,0,1,6
3485,5,1,25,5,82,0,3,25
3486,5,1,30,17,1108,0,4,30
3487,1,1,18,9,123,0,2,18
3488,4,2,2,2,2,1,1,1
3489,0,4,84,18,353,0,12,21
3490,0,1,6,1,6,1,6,6
3491,6,1,1,1,1,0,0,1
3492,1,1,1,7,128,0,0,1
3493,1,1,30,7,111,0,4,30
3494,1,1,6,1,6,0,1,6
3495,2,1,1,1,1,0,0,1
3496,0,5,109,8,122,2,54,21
3497,1,3,30,35,1394,0,4,10
3498,0,1,25,8,107,0,3,25
3499,0,9,497,20,772,1,71,55
3500,6,1,18,4,31,0,2,18
3501,3,1,25,4,76,0,3,25
3502,1,1,6,1,6,1,6,6
3503,0,4,103,15,706,0,14,25
3504,0,5,54,5,54,0,9,10
3505,1,1,25,14,1737,0,3,25
3506,2,1,198,5,631,0,66,198
3507,0,5,604,18,1095,0,86,120
3508,6,1,1,1,1,0,0,1
3509,0,1,6,3,13,0,3,6
3510,3,1,6,13,1191,0,0,6
3511,4,1,1,1,1,0,0,1
3512,1,2,24,5,73,0,8,12
3513,0,1,25,10,432,0,3,25
3514,4,1,6,8,55,0,0,6
3515,2,1,1,1,1,0,0,1
3516,5,5,32,7,56,1,8,6
3517,4,1,18,4,50,0,2,18
3518,1,1,18,4,74,0,6,18
3519,0,8,2043,42,8053,1,291,255
3520,0,5,1067,13,2124,0,152,213
3521,0,1,25,15,1065,0,3,25
3522,1,2,55,6,69,0,7,27
3523,0,2,31,5,63,0,4,15
3524,3,1,6,1,6,0,1,6
3525,2,1,25,4,38,0,3,25
3526,1,1,25,4,57,0,3,25
3527,4,1,6,1,6,0,3,6
3528,0,1,1,1,1,1,1,1
3529,1,1,18,11,123,0,2,18
3530,0,3,61,19,2176,0,8,20
3531,0,1,1,2,7,0,0,1
3532,6,1,25,3,32,0,3,25
3533,0,6,149,12,257,0,21,24
3534,2,1,1,1,1,0,0,1
3535,1,2,7,2,7,0,1,3
3536,0,2,7,2,7,0,2,3
3537,0,2,7,2,7,1,3,3
3538,4,1,18,4,31,0,2,18
3539,0,4,424,12,1128,0,60,106
3540,5,1,25,1,25,0,4,25
3541,1,1,6,2,12,0,0,6
3542,4,2,12,6,55,0,1,6
3543,1,2,2,2,2,0,0,1
3544,3,1,1,2,7,0,0,1
3545,5,1,1,1,1,0,0,1
3546,6,1,6,3,13,0,2,6
3547,5,2,24,3,25,0,4,12
3548,2,1,1,1,1,0,0,1
3549,1,2,55,3,56,0,7,27
3550,4,1,6,4,31,0,0,6
3551,1,1,6,1,6,0,0,6
3552,0,1,6,1,6,0,1,6
3553,5,2,2,2,2,0,0,1
3554,0,1,1,1,1,1,1,1
3555,6,1,6,1,6,0,1,6
3556,0,1,25,4,28,0,4,25
3557,0,1,6,2,7,0,0,6
3558,5,1,1,1,1,0,0,1
3559,0,1,1,1,1,1,1,1
3560,1,1,1,1,1,0,0,1
3561,4,1,25,1,25,0,6,25
3562,1,1,1,2,7,0,0,1
3563,5,1,1,2,26,0,0,1
3564,5,4,14,4,14,0,2,3
3565,1,1,6,7,73,0,0,6
3566,5,1,1,1,1,0,0,1
3567,6,2,31,2,31,0,4,15
3568,3,1,6,2,7,0,0,6
3569,3,2,12,3,13,0,1,6
3570,4,1,1,1,1,0,0,1
3571,1,2,128,6,159,0,18,64
3572,6,1,1,2,7,0,0,1
3573,1,1,6,2,7,0,0,6
3574,6,2,24,4,31,0,4,12
3575,1,1,6,1,6,0,2,6
3576,4,1,1,1,1,0,0,1
3577,2,1,1,1,1,0,0,1
3578,4,1,1,1,1,0,0,1
3579,4,1,6,1,6,0,1,6
3580,6,1,1,2,7,1,1,1
3581,0,1,18,3,20,0,9,18
3582,6,2,7,2,7,1,3,3
3583,0,1,98,4,111,0,14,98
3584,4,1,6,1,6,0,1,6
3585,5,1,6,1,6,0,0,6
3586,6,3,8,3,8,1,2,2
3587,1,1,1,1,1,0,0,1
3588,6,1,6,6,38,0,0,6
3589,4,1,1,1,1,0,0,1
3590,2,1,1,1,1,0,0,1
3591,6,1,6,1,6,0,0,6
3592,3,1,1,1,1,0,0,1
3593,0,1,6,3,13,0,0,6
3594,5,2,2,2,2,0,0,1
3595,5,1,6,1,6,0,1,6
3596,5,1,1,1,1,0,0,1
3597,0,1,1,1,1,0,0,1
3598,0,1,1,2,7,0,0,1
3599,6,1,1,1,1,1,1,1
3600,5,1,6,1,6,0,1,6
3601,5,1,6,1,6,0,0,6
3602,6,1,1,1,1,0,0,1
3603,2,3,32,3,32,0,4,10
3604,6,1,6,1,6,0,1,6
3605,6,1,1,1,1,1,1,1
3606,2,8,404,9,405,1,57,50
3607,3,1,6,1,6,0,1,6
3608,5,4,57,4,57,0,8,14
3609,4,1,1,1,1,0,0,1
3610,6,1,6,2,7,0,1,6
3611,6,3,13,3,13,0,1,4
3612,6,1,1,1,1,0,0,1
3613,3,2,26,2,26,0,5,13
3614,6,1,6,1,6,0,3,6
3615,4,2,24,2,24,0,3,12
3616,6,1,1,1,1,0,0,1
3617,5,1,1,1,1,0,0,1
3618,4,7,56,7,56,1,9,8
3619,6,1,1,1,1,0,0,1
3620,5,2,7,2,7,0,1,3
3621,5,1,1,1,1,0,0,1
3622,5,2,7,2,7,0,1,3
3623,5,1,6,1,6,0,0,6
3624,5,1,1,1,1,0,0,1
3625,5,2,7,2,7,0,2,3
3626,3,2,7,2,7,0,1,3
3627,5,2,7,2,7,0,1,3
3628,6,1,1,1,1,0,0,1
3629,5,1,1,1,1,0,0,1
3630,5,1,1,1,1,0,0,1
3631,6,2,7,2,7,0,1,3
3632,5,1,1,1,1,0,0,1
3633,6,2,7,2,7,0,1,3
3634,1,3,13,3,13,0,1,4
3635,6,1,1,1,1,0,0,1
3636,1,3,27,3,27,0,3,9
3637,5,2,2,2,2,0,0,1
3638,2,6,110,6,110,1,18,18
3639,5,3,44,3,44,0,7,14
3640,4,2,7,2,7,0,1,3
3641,5,1,6,1,6,0,1,6
3642,3,3,13,3,13,0,3,4
3643,5,2,12,2,12,0,2,6
3644,3,2,12,2,12,0,2,6
3645,3,5,136,5,136,0,22,27
3646,5,1,6,1,6,0,1,6
3647,5,4,33,4,33,1,11,8
3648,5,1,1,1,1,0,0,1
3649,3,1,6,1,6,0,1,6
3650,5,1,6,1,6,0,1,6
3651,1,2,12,2,12,0,2,6
3652,1,4,55,4,55,0,9,13
3653,4,2,7,2,7,0,1,3
3654,4,3,32,3,32,0,6,10
3655,0,1,1,1,1,0,0,1
3656,4,1,1,1,1,0,0,1
3657,4,2,7,2,7,0,1,3
3658,4,1,6,1,6,0,1,6
3659,1,4,111,4,111,0,22,27
3660,2,3,13,3,13,0,3,4
3661,2,2,7,2,7,0,1,3
3662,4,3,32,3,32,1,16,10
3663,3,2,7,2,7,0,1,3
3664,2,1,1,1,1,0,0,1
3665,4,2,7,2,7,0,2,3
3666,1,4,351,4,351,0,70,87
3667,3,1,1,1,1,0,0,1
3668,4,1,1,1,1,0,0,1
3669,4,1,1,1,1,1,1,1
3670,4,1,1,1,1,0,0,1
3671,0,2,31,2,31,0,7,15
3672,3,1,1,1,1,0,0,1
3673,2,1,1,1,1,0,0,1
3674,2,2,7,2,7,0,1,3
3675,4,1,1,1,1,0,0,1
3676,4,3,32,3,32,1,10,10
3677,3,1,1,1,1,0,0,1
3678,1,1,1,1,1,0,0,1
3679,3,1,18,1,18,0,6,18
3680,2,2,7,2,7,0,1,3
3681,1,2,7,2,7,0,1,3
3682,4,2,7,2,7,1,3,3
3683,4,1,1,1,1,1,1,1
3684,0,2,7,2,7,0,1,3
3685,3,2,7,2,7,1,3,3
3686,3,1,6,1,6,1,6,6
3687,3,1,1,1,1,0,0,1
3688,3,2,7,2,7,0,1,3
3689,3,1,1,1,1,0,0,1
3690,3,1,1,1,1,0,0,1
3691,3,1,6,1,6,1,6,6
3692,3,1,1,1,1,1,1,1
3693,3,1,1,1,1,0,0,1
3694,3,1,6,1,6,1,6,6
3695,2,2,7,2,7,0,1,3
3696,3,2,7,2,7,2,7,3
3697,2,2,7,2,7,0,2,3
3698,3,1,1,1,1,0,0,1
3699,1,1,1,1,1,0,0,1
3700,2,1,1,1,1,0,0,1
3701,3,1,1,1,1,0,0,1
3702,3,1,6,1,6,0,1,6
3703,2,2,7,2,7,1,3,3
3704,2,3,27,3,27,0,6,9
3705,0,2,7,2,7,0,1,3
3706,2,1,6,1,6,0,1,6
3707,3,1,6,1,6,1,6,6
3708,2,3,32,3,32,0,8,10
3709,2,1,1,1,1,0,0,1
3710,3,1,1,1,1,1,1,1
3711,1,3,32,3,32,1,10,10
3712,2,2,2,2,2,0,0,1
3713,2,1,1,1,1,0,0,1
3714,3,1,1,1,1,0,0,1
3715,1,1,6,1,6,0,1,6
3716,2,1,1,1,1,0,0,1
3717,2,1,6,1,6,0,3,6
3718,1,1,6,1,6,0,3,6
3719,1,1,1,1,1,0,0,1
3720,2,1,6,1,6,0,2,6
3721,0,3,56,3,56,1,18,18
3722,2,1,1,1,1,1,1,1
3723,1,5,104,5,104,1,34,20
3724,2,2,2,2,2,0,0,1
3725,0,1,25,1,25,0,8,25
3726,1,1,6,1,6,0,2,6
3727,0,3,32,3,32,1,10,10
3728,2,1,6,1,6,0,2,6
3729,1,1,6,1,6,0,2,6
3730,1,1,1,1,1,0,0,1
3731,0,2,7,2,7,0,2,3
3732,1,2,7,2,7,0,2,3
3733,2,2,7,2,7,1,3,3
3734,1,1,1,1,1,0,0,1
3735,0,3,32,3,32,1,10,10
3736,0,3,8,3,8,1,2,2
3737,2,2,7,2,7,1,3,3
3738,2,2,2,2,2,1,1,1
3739,1,1,1,1,1,0,0,1
3740,0,9,208,9,208,3,69,23
3741,2,1,6,1,6,1,6,6
3742,1,3,32,3,32,1,10,10
3743,1,1,1,1,1,0,0,1
3744,1,1,1,1,1,0,0,1
3745,1,1,1,1,1,0,0,1
3746,1,1,6,1,6,0,2,6
3747,1,1,6,1,6,1,6,6
3748,1,3,32,3,32,1,16,10
3749,1,1,6,1,6,0,3,6
3750,1,3,56,3,56,1,28,18
3751,1,1,6,1,6,1,6,6
3752,1,1,1,1,1,1,1,1
3753,1,4,62,4,62,2,31,15
3754,1,1,1,1,1,1,1,1
3755,1,1,1,1,1,0,0,1
3756,1,1,1,1,1,0,0,1
3757,1,1,1,1,1,1,1,1
3758,0,1,1,1,1,0,0,1
3759,1,1,6,1,6,0,3,6
3760,1,3,32,3,32,1,16,10
3761,1,2,2,2,2,1,1,1
3762,1,1,1,1,1,1,1,1
3763,0,1,1,1,1,0,0,1
3764,0,1,1,1,1,0,0,1
3765,0,2,7,2,7,2,7,3
3766,0,1,1,1,1,1,1,1
3767,0,1,1,1,1,1,1,1
3768,0,1,1,1,1,1,1,1
3769,0,1,1,1,1,1,1,1
3770,0,1,6,1,6,1,6,6
3771,0,1,1,1,1,1,1,1
3772,0,2,2,2,2,2,2,1
3773,0,1,6,1,6,1,6,6
3774,0,1,6,1,6,1,6,6
3775,0,5,104,5,104,5,104,20
3776,0,1,6,1,6,1,6,6
3777,0,1,6,1,6,1,6,6
3778,0,1,1,1,1,1,1,1
3779,0,2,7,2,7,2,7,3
3780,0,3,8,3,8,3,8,2
3781,0,1,1,1,1,1,1,1
3782,0,1,1,1,1,1,1,1
