day,Type1,Type2
1,0.383,0.313
2,0.268,0.200
3,0.216,0.151
4,0.187,0.125
5,0.167,0.108
6,0.156,0.097
7,0.145,0.088
8,0.131,0.078
9,0.119,0.070
10,0.111,0.064
11,0.105,0.060
12,0.101,0.056
13,0.099,0.054
14,0.096,0.052
15,0.090,0.047
16,0.084,0.044
17,0.079,0.041
18,0.076,0.040
19,0.074,0.038
20,0.073,0.037
21,0.072,0.036
22,0.068,0.034
23,0.065,0.032
24,0.062,0.031
25,0.060,0.029
26,0.059,0.029
27,0.058,0.028
28,0.058,0.028
29,0.055,0.026
30,0.053,0.025
31,0.051,0.024
32,0.049,0.023
33,0.048,0.023
34,0.048,0.022
35,0.047,0.022
36,0.045,0.021
37,0.044,0.020
38,0.042,0.020
39,0.041,0.019
40,0.041,0.019
41,0.040,0.019
42,0.040,0.018
43,0.039,0.018
44,0.037,0.017
45,0.036,0.016
46,0.035,0.016
47,0.035,0.016
48,0.034,0.016
49,0.034,0.015
50,0.033,0.015
51,0.032,0.014
52,0.031,0.014
53,0.030,0.014
54,0.030,0.014
55,0.030,0.014
56,0.030,0.013
57,0.029,0.013
58,0.028,0.013
59,0.027,0.012
60,0.027,0.012
61,0.026,0.012
62,0.026,0.012
63,0.026,0.012
64,0.026,0.011
65,0.025,0.011
66,0.024,0.011
67,0.024,0.011
68,0.024,0.011
69,0.023,0.011
70,0.023,0.010
71,0.023,0.010
72,0.022,0.010
73,0.022,0.010
74,0.021,0.010
75,0.021,0.009
76,0.021,0.009
77,0.021,0.009
78,0.020,0.009
79,0.020,0.009
80,0.019,0.009
81,0.019,0.009
82,0.019,0.009
83,0.019,0.009
84,0.019,0.008
85,0.018,0.008
86,0.018,0.008
87,0.018,0.008
88,0.017,0.008
89,0.017,0.008
90,0.017,0.008
91,0.017,0.008
92,0.017,0.008
93,0.016,0.007
94,0.016,0.007
95,0.016,0.007
96,0.016,0.007
97,0.016,0.007
98,0.016,0.007
99,0.015,0.007
100,0.015,0.007
101,0.015,0.007
102,0.014,0.007
103,0.014,0.007
104,0.014,0.007
105,0.014,0.007
106,0.014,0.006
107,0.014,0.006
108,0.014,0.006
109,0.013,0.006
110,0.013,0.006
111,0.013,0.006
112,0.013,0.006
113,0.013,0.006
114,0.013,0.006
115,0.013,0.006
116,0.012,0.006
117,0.012,0.006
118,0.012,0.006
119,0.013,0.006
120,0.012,0.006
121,0.012,0.005
122,0.012,0.005
123,0.012,0.005
124,0.012,0.005
125,0.012,0.005
126,0.012,0.005
127,0.012,0.005
128,0.011,0.005
129,0.011,0.005
130,0.011,0.005
131,0.011,0.005
132,0.011,0.005
133,0.011,0.005
134,0.011,0.005
135,0.010,0.005
136,0.010,0.005
137,0.010,0.005
138,0.010,0.005
139,0.010,0.005
140,0.010,0.005
141,0.010,0.004
142,0.010,0.004
143,0.010,0.004
144,0.010,0.004
145,0.009,0.004
146,0.010,0.004
147,0.010,0.004
148,0.009,0.004
149,0.009,0.004
150,0.009,0.004
151,0.009,0.004
152,0.009,0.004
153,0.009,0.004
154,0.009,0.004
155,0.009,0.004
156,0.009,0.004
157,0.009,0.004
158,0.009,0.004
159,0.009,0.004
160,0.009,0.004
161,0.009,0.004
162,0.009,0.004
163,0.008,0.004
164,0.008,0.004
165,0.008,0.004
166,0.008,0.004
167,0.008,0.004
168,0.008,0.004
169,0.008,0.004
170,0.008,0.004
171,0.008,0.003
172,0.008,0.003
173,0.008,0.003
174,0.008,0.003
175,0.008,0.003
176,0.008,0.003
177,0.008,0.003
178,0.007,0.003
179,0.007,0.003
180,0.007,0.003
181,0.008,0.003
182,0.008,0.003
183,0.007,0.003
184,0.007,0.003
185,0.007,0.003
186,0.007,0.003
187,0.007,0.003
188,0.007,0.003
189,0.007,0.003
190,0.007,0.003
191,0.007,0.003
192,0.007,0.003
193,0.007,0.003
194,0.007,0.003
195,0.007,0.003
196,0.007,0.003
197,0.007,0.003
198,0.007,0.003
199,0.007,0.003
200,0.006,0.003
201,0.006,0.003
202,0.006,0.003
203,0.007,0.003
204,0.006,0.003
205,0.006,0.003
206,0.006,0.003
207,0.006,0.003
208,0.006,0.003
209,0.006,0.003
210,0.006,0.003
211,0.006,0.003
212,0.006,0.003
213,0.006,0.003
214,0.006,0.003
215,0.006,0.003
216,0.006,0.003
217,0.006,0.003
218,0.006,0.003
219,0.006,0.003
220,0.006,0.002
221,0.006,0.002
222,0.006,0.002
223,0.006,0.002
224,0.006,0.002
225,0.006,0.002
226,0.005,0.002
227,0.005,0.002
228,0.005,0.002
229,0.005,0.002
230,0.005,0.002
231,0.005,0.002
232,0.005,0.002
233,0.005,0.002
234,0.005,0.002
235,0.005,0.002
236,0.005,0.002
237,0.005,0.002
238,0.005,0.002
239,0.005,0.002
240,0.005,0.002
241,0.005,0.002
242,0.005,0.002
243,0.005,0.002
244,0.005,0.002
245,0.005,0.002
246,0.005,0.002
247,0.005,0.002
248,0.005,0.002
249,0.005,0.002
250,0.004,0.002
251,0.005,0.002
252,0.005,0.002
253,0.004,0.002
254,0.004,0.002
255,0.004,0.002
256,0.004,0.002
257,0.004,0.002
258,0.004,0.002
259,0.004,0.002
260,0.004,0.002
261,0.004,0.002
262,0.004,0.002
263,0.004,0.002
264,0.004,0.002
265,0.004,0.002
266,0.004,0.002
267,0.004,0.002
268,0.004,0.002
269,0.004,0.002
270,0.004,0.002
271,0.004,0.002
272,0.004,0.002
273,0.004,0.002
274,0.004,0.002
275,0.004,0.002
276,0.004,0.002
277,0.004,0.002
278,0.004,0.002
279,0.004,0.002
280,0.004,0.002
281,0.004,0.002
282,0.004,0.002
283,0.004,0.002
284,0.004,0.002
285,0.004,0.002
286,0.004,0.002
287,0.004,0.002
288,0.004,0.002
289,0.004,0.001
290,0.003,0.001
291,0.003,0.001
292,0.003,0.001
293,0.003,0.001
294,0.003,0.001
295,0.003,0.001
296,0.003,0.001
297,0.003,0.001
298,0.003,0.001
299,0.003,0.001
300,0.003,0.001
301,0.003,0.001
302,0.003,0.001
303,0.003,0.001
304,0.003,0.001
305,0.003,0.001
306,0.003,0.001
307,0.003,0.001
308,0.003,0.001
309,0.003,0.001
310,0.003,0.001
311,0.003,0.001
312,0.003,0.001
313,0.003,0.001
314,0.003,0.001
315,0.003,0.001
316,0.003,0.001
317,0.003,0.001
318,0.003,0.001
319,0.003,0.001
320,0.003,0.001
321,0.003,0.001
322,0.003,0.001
323,0.003,0.001
324,0.003,0.001
325,0.003,0.001
326,0.003,0.001
327,0.003,0.001
328,0.003,0.001
329,0.003,0.001
330,0.003,0.001
331,0.003,0.001
332,0.002,0.001
333,0.002,0.001
334,0.002,0.001
335,0.002,0.001
336,0.003,0.001
337,0.003,0.001
338,0.002,0.001
339,0.002,0.001
340,0.002,0.001
341,0.002,0.001
342,0.002,0.001
343,0.002,0.001
344,0.002,0.001
345,0.002,0.001
346,0.002,0.001
347,0.002,0.001
348,0.002,0.001
349,0.002,0.001
350,0.002,0.001
351,0.002,0.001
352,0.002,0.001
353,0.002,0.001
354,0.002,0.001
355,0.002,0.001
356,0.002,0.001
357,0.002,0.001
358,0.002,0.001
359,0.002,0.001
360,0.002,0.001
361,0.002,0.001
362,0.002,0.001
363,0.002,0.001
364,0.002,0.001
365,0.002,0.001
